date,open,high,low,close,volume,average,barCount
2023-11-07,16635.0,16783.5,16578.5,16744.0,458419.0,16715.71322063367,262923
2023-11-08,16757.75,16789.25,16647.0,16726.0,444151.0,16726.9568884634,261604
2023-11-09,16775.0,16828.75,16592.5,16612.75,593348.0,16715.11428433281,360778
2023-11-10,16691.5,17002.0,16667.25,16969.5,530077.0,16839.55691302462,306422
2023-11-13,16911.5,16976.5,16841.25,16941.5,413865.0,16922.07400065641,249450
2023-11-14,17218.75,17335.0,17195.25,17307.0,472449.0,17275.66421318086,279895
2023-11-15,17377.0,17398.75,17241.0,17255.0,522993.0,17329.97684591772,302053
2023-11-16,17261.0,17322.0,17202.25,17313.25,496104.0,17271.55333220679,296468
2023-11-17,17274.25,17358.25,17233.0,17286.75,443106.0,17290.03868440144,268667
2023-11-20,17309.25,17550.75,17309.0,17521.0,438786.0,17447.6133802816,254906
2023-11-21,17437.75,17450.75,17327.75,17389.25,449194.0,17390.71443170014,267797
2023-11-22,17499.5,17612.5,17429.5,17473.25,487632.0,17503.72282192103,294697
2023-11-24,17454.75,17481.75,17403.75,17435.5,149970.0,17438.71100890068,91281
2023-11-27,17422.5,17520.75,17391.25,17428.75,398790.0,17456.4340785306,234091
2023-11-28,17395.75,17501.5,17378.5,17479.75,484608.0,17436.53305871574,283356
2023-11-29,17584.0,17650.75,17438.25,17468.5,496185.0,17526.53685010824,284517
2023-11-30,17459.0,17479.75,17266.75,17376.75,555604.0,17348.97946128129,330087
2023-12-01,17351.25,17478.0,17275.5,17456.5,514731.0,17386.49465321682,309303
2023-12-04,17273.75,17299.25,17120.0,17268.5,576294.0,17225.48968579538,325838
2023-12-05,17196.25,17381.25,17187.5,17314.5,552880.0,17296.87200310668,335870
2023-12-06,17460.0,17464.75,17208.0,17221.5,523888.0,17316.25575975262,309700
2023-12-07,17352.0,17495.5,17301.0,17443.25,489227.0,17415.0530250168,296869
2023-12-08,17375.75,17553.0,17366.25,17526.0,404846.0,17484.1212702566,255315
2023-12-11,17508.0,17693.75,17498.5,17688.5,181529.0,17609.70732279551,116149
2023-12-12,17682.25,17849.75,17631.0,17823.5,388230.0,17739.73216441708,225855
2023-12-13,17860.0,18071.75,17824.0,18040.5,538308.0,17934.19807695219,317970
2023-12-14,18087.0,18148.0,17880.0,18014.25,575857.0,18030.19445152544,341476
2023-12-15,18051.5,18158.75,18024.5,18086.5,509220.0,18096.05586785265,291844
2023-12-18,18114.75,18252.0,18099.75,18215.0,357273.0,18184.06822583439,206244
2023-12-19,18228.5,18311.5,18220.25,18304.75,398351.0,18269.09665842335,233856
2023-12-20,18264.25,18359.0,18020.25,18028.5,547978.0,18217.13334505173,313101
2023-12-21,18196.25,18243.25,18081.0,18233.25,495133.0,18162.75063271297,300985
2023-12-22,18279.0,18324.5,18168.0,18258.5,373402.0,18269.04289400186,222295
2023-12-26,18290.0,18399.5,18285.75,18369.75,234544.0,18340.38828132121,137985
2023-12-27,18378.5,18423.0,18339.5,18401.75,358461.0,18378.77607826621,212051
2023-12-28,18439.5,18450.75,18363.5,18377.25,286035.0,18406.03463996245,169831
2023-12-29,18375.5,18395.5,18213.5,18305.25,398110.0,18298.50579697926,236018
2024-01-02,18131.5,18144.0,17874.0,17978.75,512868.0,17988.60767150169,300606
2024-01-03,17860.5,17907.25,17766.0,17783.0,545397.0,17833.7123731844,327801
2024-01-04,17692.0,17832.25,17673.5,17683.0,441238.0,17744.24837582238,263646
2024-01-05,17687.75,17825.25,17638.75,17699.5,469134.0,17730.51156613128,274774
2024-01-08,17755.25,18077.0,17748.25,18069.0,429394.0,17941.26809837834,243020
2024-01-09,17924.25,18138.5,17914.75,18097.25,487680.0,18047.10336208455,286114
2024-01-10,18107.75,18261.5,18066.5,18221.0,446467.0,18168.87977676302,258523
2024-01-11,18263.25,18326.75,18014.25,18243.5,596295.0,18163.18074808491,353919
2024-01-12,18288.5,18325.5,18187.0,18246.75,449713.0,18245.65537065302,271653
2024-01-16,18190.75,18316.25,18124.0,18256.25,565992.0,18217.99357579559,343532
2024-01-17,18092.0,18156.25,17945.75,18129.75,550235.0,18049.41523220869,328076
